date,rise,set
2018-08-01,06:04,19:53
2018-08-02,06:05,19:52
2018-08-03,06:05,19:51
2018-08-04,06:06,19:51
2018-08-05,06:07,19:50
2018-08-06,06:08,19:49
2018-08-07,06:08,19:48
2018-08-08,06:09,19:47
2018-08-09,06:10,19:46
2018-08-10,06:11,19:45
2018-08-11,06:11,19:44
2018-08-12,06:12,19:43
2018-08-13,06:13,19:41
2018-08-14,06:13,19:40
2018-08-15,06:14,19:39
2018-08-16,06:15,19:38
2018-08-17,06:16,19:37
2018-08-18,06:16,19:36
2018-08-19,06:17,19:35
2018-08-20,06:18,19:33
2018-08-21,06:18,19:32
2018-08-22,06:19,19:31
2018-08-23,06:20,19:30
2018-08-24,06:21,19:28
2018-08-25,06:21,19:27
2018-08-26,06:22,19:26
2018-08-27,06:23,19:25
2018-08-28,06:23,19:23
2018-08-29,06:24,19:22
2018-08-30,06:25,19:21
2018-08-31,06:25,19:19
2018-09-01,06:26,19:18
2018-09-02,06:27,19:17
2018-09-03,06:28,19:15
2018-09-04,06:28,19:14
2018-09-05,06:29,19:13
2018-09-06,06:30,19:11
2018-09-07,06:30,19:10
2018-09-08,06:31,19:09
2018-09-09,06:32,19:07
2018-09-10,06:32,19:06
2018-09-11,06:33,19:04
2018-09-12,06:34,19:03
2018-09-13,06:34,19:02
2018-09-14,06:35,19:00
2018-09-15,06:36,18:59
2018-09-16,06:37,18:57
2018-09-17,06:37,18:56
2018-09-18,06:38,18:55
2018-09-19,06:39,18:53
2018-09-20,06:39,18:52
2018-09-21,06:40,18:50
2018-09-22,06:41,18:49
2018-09-23,06:41,18:48
2018-09-24,06:42,18:46
2018-09-25,06:43,18:45
2018-09-26,06:43,18:43
2018-09-27,06:44,18:42
2018-09-28,06:45,18:41
2018-09-29,06:46,18:39
2018-09-30,06:46,18:38
2018-10-01,06:47,18:37
2018-10-02,06:48,18:35
2018-10-03,06:49,18:34
2018-10-04,06:49,18:32
2018-10-05,06:50,18:31
2018-10-06,06:51,18:30
2018-10-07,06:52,18:28
2018-10-08,06:52,18:27
2018-10-09,06:53,18:26
2018-10-10,06:54,18:25
2018-10-11,06:55,18:23
2018-10-12,06:55,18:22
2018-10-13,06:56,18:21
2018-10-14,06:57,18:19
2018-10-15,06:58,18:18
2018-10-16,06:59,18:17
2018-10-17,06:59,18:16
2018-10-18,07:00,18:15
2018-10-19,07:01,18:13
2018-10-20,07:02,18:12
2018-10-21,07:03,18:11
2018-10-22,07:04,18:10
2018-10-23,07:04,18:09
2018-10-24,07:05,18:08
2018-10-25,07:06,18:07
2018-10-26,07:07,18:06
2018-10-27,07:08,18:04
2018-10-28,07:09,18:03
2018-10-29,07:10,18:02
2018-10-30,07:10,18:01
2018-10-31,07:11,18:00
2018-11-01,07:12,18:00
2018-11-02,07:13,17:59
2018-11-03,07:14,17:58
2018-11-04,06:15,16:57
2018-11-05,06:16,16:56
2018-11-06,06:17,16:55
2018-11-07,06:18,16:54
2018-11-08,06:19,16:54
2018-11-09,06:20,16:53
2018-11-10,06:21,16:52
2018-11-11,06:21,16:51
2018-11-12,06:22,16:51
2018-11-13,06:23,16:50
2018-11-14,06:24,16:49
2018-11-15,06:25,16:49
2018-11-16,06:26,16:48
2018-11-17,06:27,16:48
2018-11-18,06:28,16:47
2018-11-19,06:29,16:47
2018-11-20,06:30,16:46
2018-11-21,06:31,16:46
2018-11-22,06:32,16:45
2018-11-23,06:33,16:45
2018-11-24,06:34,16:45
2018-11-25,06:35,16:44
2018-11-26,06:35,16:44
2018-11-27,06:36,16:44
2018-11-28,06:37,16:44
2018-11-29,06:38,16:43
2018-11-30,06:39,16:43
2018-12-01,06:40,16:43
2018-12-02,06:41,16:43
2018-12-03,06:42,16:43
2018-12-04,06:43,16:43
2018-12-05,06:43,16:43
2018-12-06,06:44,16:43
2018-12-07,06:45,16:43
2018-12-08,06:46,16:43
2018-12-09,06:47,16:43
2018-12-10,06:47,16:43
2018-12-11,06:48,16:44
2018-12-12,06:49,16:44
2018-12-13,06:49,16:44
2018-12-14,06:50,16:44
2018-12-15,06:51,16:45
2018-12-16,06:51,16:45
2018-12-17,06:52,16:46
2018-12-18,06:53,16:46
2018-12-19,06:53,16:46
2018-12-20,06:54,16:47
2018-12-21,06:54,16:47
2018-12-22,06:55,16:48
2018-12-23,06:55,16:48
2018-12-24,06:56,16:49
2018-12-25,06:56,16:49
2018-12-26,06:56,16:50
2018-12-27,06:57,16:51
2018-12-28,06:57,16:51
2018-12-29,06:57,16:52
2018-12-30,06:58,16:53
2018-12-31,06:58,16:53
